"Group","Start","End","Incidents","Kills","Duration"
"Taliban",1995-04-20,2015-12-31,4762,16772,7560
"Shining Path (SL)",1978-08-24,2015-10-06,4135,8074,13557
"Islamic State of Iraq and the Levant (ISIL)",2013-04-18,2015-12-31,2381,13639.33,987
"Farabundo Marti National Liberation Front (FMLN)",1978-11-17,1994-11-01,2129,2323,5828
"Revolutionary Armed Forces of Colombia (FARC)",1975-03-01,2015-08-25,2039,3666,14787
"Basque Fatherland and Freedom (ETA)",1970-12-01,2011-04-09,1905,721,14739
"Irish Republican Army (IRA)",1970-06-26,2011-05-21,1882,1065,14939
"Boko Haram",2009-07-27,2015-12-28,1700,15612,2345
"Communist Party of India - Maoist (CPI-Maoist)",2005-04-28,2015-12-25,1612,1949,3893
"New People's Army (NPA)",1976-02-20,2015-12-22,1506,2107,14550
"Al-Shabaab",2007-12-31,2015-12-31,1360,3399,2922
"Kurdistan Workers' Party (PKK)",1987-06-30,2015-12-30,1280,2066,10410
"National Liberation Army of Colombia (ELN)",1972-12-01,2015-12-21,1235,1000,15725
"Liberation Tigers of Tamil Eelam (LTTE)",1975-07-27,2010-06-12,1087,6549,12739
"Maoists",1979-12-12,2015-12-29,1073,1054,13166
"Tehrik-i-Taliban Pakistan (TTP)",2007-12-23,2015-12-29,991,4284,2928
"Manuel Rodriguez Patriotic Front (FPMR)",1984-03-07,1997-11-05,799,87,4991
"Corsican National Liberation Front (FLNC)",1974-03-22,2012-12-08,627,13,14141
"Al-Qaida in Iraq",2004-10-24,2013-04-06,581,3995.8,3086
"Al-Qaida in the Arabian Peninsula (AQAP)",2004-05-29,2015-12-31,533,1484.5,4233
"African National Congress (South Africa)",1976-11-30,1996-03-28,527,418,7058
"Tupac Amaru Revolutionary Movement (MRTA)",1984-06-01,1997-08-10,522,186,4818
"M-19 (Movement of April 19)",1976-02-17,1997-10-01,435,626,7897
"Huthi Extremists",2006-04-14,2015-12-31,428,1300,3548
"Separatists",1980-02-03,2015-12-17,386,373,13101
"National Union for the Total Independence of Angola (UNITA)",1978-11-01,2002-04-01,383,2065,8552
"People's Liberation Front (JVP)",1987-08-18,1990-07-30,377,697,1077
"Palestinians",1970-04-25,2002-10-08,375,234,11854
"Sikh Extremists",1981-10-16,1994-11-06,354,1867,4769
"Abu Sayyaf Group (ASG)",1994-02-18,2015-12-22,349,584,7977
"Nicaraguan Democratic Force (FDN)",1983-03-16,1987-06-19,317,1346,1556
"Fulani Militants",2010-04-11,2015-12-13,263,1861,2072
"Lord's Resistance Army (LRA)",1994-08-19,2015-12-17,256,2902.99999998,7790
"Chechen Rebels",1995-06-14,2015-01-19,240,1332,7159
"Armed Islamic Group (GIA)",1994-02-01,2005-08-16,212,1389,4214
"Mozambique National Resistance Movement (MNR)",1979-03-23,2014-06-30,212,2197,12883
"Al-Nusrah Front",2012-01-06,2015-11-15,155,1803,1409
"Islamic State of Iraq (ISI)",2007-01-19,2011-08-15,143,1715,1669
"Hutus",1994-02-21,2010-02-19,89,2530,5842
"Al-Qaida",1992-12-29,2011-08-13,50,3518,6801
"Protestant Extremists",1970-09-30,2013-08-09,253,252,15654
"Ulster Volunteer Force (UVF)",1970-06-27,2015-08-26,241,339,16496
"Ulster Freedom Fighters (UFF)",1972-05-17,2013-12-01,231,179,15173
"Popular Liberation Army (EPL)",1973-01-06,2014-10-13,215,280,15255
"Moro National Liberation Front (MNLF)",1975-07-25,2015-11-22,166,411,14730
"Popular Front for the Liberation of Palestine (PFLP)",1970-02-10,2015-08-14,134,133,16621
"Muslim Brotherhood",1979-07-10,2015-05-10,93,197,13088
"Jewish Defense League (JDL)",1970-05-22,2013-12-22,82,4,15920
"Irish Republican Extremists",1970-12-23,2010-10-05,74,66,14531
"Al-Fatah",1971-10-04,2009-09-15,52,80,13861
"Pattani United Liberation Organization (PULO)",1977-06-24,2015-08-22,47,34,13938
"White Extremists",1970-01-19,2015-11-26,44,13,16747
"Democratic Front for the Liberation of Palestine (DFLP)",1974-05-18,2011-10-10,34,52,13659
"Breton Liberation Front (FLB)",1974-02-14,2014-06-13,32,5,14729
"Neo-Nazi Group",1970-10-02,2015-04-04,28,23,16255
"Right-Wing Extremists",1970-09-09,2015-10-23,27,27,16480
"Zimbabwe African Nationalist Union (ZANU)",1978-01-15,2014-02-25,21,26,13190
"Jewish Extremists",1974-06-03,2015-07-30,16,7,15032
"Corsican Nationalists",1978-12-09,2014-09-14,9,0,13063
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",1970-02-21,2013-07-24,7,167,15859
"Ukrainian Nationalist Group",1979-11-27,2015-11-21,5,3,13143
